"","plot","sp_group","coverage","species_id2"
"1","K_H_1_S","",1,"vanlig styvstarr"
"2","K_H_1_S","",1,"dvärgvide"
"3","K_H_1_S","",5,"betula nana"
"4","K_H_1_S","",30,"crowberry"
"5","K_H_1_S","",15,"lingon"
"6","K_H_1_S","",1,"odon"
"7","K_H_1_S","",1,"fjäll lummer"
"8","K_H_1_S","lichen",1,"lichen"
"9","K_H_1_S","moss and liverwort",1,"moss and liverwort"
"10","K_H_1_S","",1,"lummer"
"11","K_H_1_S","",1,"klynnetåg"
"12","K_H_1_C","lichen",30,"lichen"
"13","K_H_1_C","moss and liverwort",1,"moss and liverwort"
"14","K_H_1_C","moss and liverwort",30,"moss and liverwort"
"15","K_H_1_C","",1,"betula nana"
"16","K_H_1_C","",1,"vanlig styvstarr"
"17","K_H_1_C","",1,"fibbla"
"18","K_H_1_C","lichen",1,"lichen"
"19","K_H_1_C","",1,"lingon"
"20","K_H_1_C","",1,"crowberry"
"21","K_H_1_T","",60,"betula nana"
"22","K_H_1_T","",1,"crowberry"
"23","K_H_1_T","",1,"vanlig styvstarr"
"24","K_H_1_T","lichen",1,"lichen"
"25","K_H_1_T","moss and liverwort",30,"moss and liverwort"
"26","K_H_1_T","moss and liverwort",1,"moss and liverwort"
"27","K_H_2_S","",1,"vanlig styvstarr"
"28","K_H_2_S","",50,"crowberry"
"29","K_H_2_S","lichen",1,"lichen"
"30","K_H_2_S","",25,"lingon"
"31","K_H_2_S","",1,"ripbär"
"32","K_H_2_S","",1,"betula nana"
"33","K_H_2_S","",1,"odon"
"34","K_H_2_S","moss and liverwort",1,"moss and liverwort"
"35","K_H_2_C","",1,"lingon"
"36","K_H_2_C","",1,"blueberry"
"37","K_H_2_C","",1,"betula nana"
"38","K_H_2_C","",1,"vanlig styvstarr"
"39","K_H_2_C","",1,"crowberry"
"40","K_H_2_C","moss and liverwort",15,"moss and liverwort"
"41","K_H_2_C","moss and liverwort",1,"moss and liverwort"
"42","K_H_2_C","lichen",1,"lichen"
"43","K_H_2_C","lichen",40,"lichen"
"44","K_H_2_T","",70,"betula nana"
"45","K_H_2_T","",1,"crowberry"
"46","K_H_2_T","",1,"lingon"
"47","K_H_2_T","",1,"salix"
"48","K_H_2_T","moss and liverwort",1,"moss and liverwort"
"49","K_H_2_T","moss and liverwort",80,"moss and liverwort"
"50","K_H_2_T","lichen",1,"lichen"
"51","K_H_2_T","",1,"vanlig styvstarr"
"52","K_H_3_S","",50,"crowberry"
"53","K_H_3_S","",15,"lingon"
"54","K_H_3_S","",10,"odon"
"55","K_H_3_S","lichen",1,"lichen"
"56","K_H_3_S","",1,"betula nana"
"57","K_H_3_S","",1,"vanlig styvstarr"
"58","K_H_3_S","moss and liverwort",1,"moss and liverwort"
"59","K_H_3_S","moss and liverwort",10,"moss and liverwort"
"60","K_H_3_C","",1,"vanlig styvstarr"
"61","K_H_3_C","",1,"lingon"
"62","K_H_3_C","",1,"odon"
"63","K_H_3_C","",1,"betula nana"
"64","K_H_3_C","",1,"crowberry"
"65","K_H_3_C","lichen",1,"lichen"
"66","K_H_3_C","lichen",60,"lichen"
"67","K_H_3_C","moss and liverwort",1,"moss and liverwort"
"68","K_H_3_C","",1,"blueberry"
"69","K_H_3_C","",80,"betula nana"
"70","K_H_3_C","",25,"crowberry"
"71","K_H_3_C","moss and liverwort",50,"moss and liverwort"
"72","N_L_1_T","",70,"betula nana"
"73","N_L_1_T","",60,"crowberry"
"74","N_L_1_T","",15,"odon"
"75","N_L_1_T","",15,"lingon"
"76","N_L_1_T","",5,"equisetum pratense"
"77","N_L_1_T","",1,"calamagrostis"
"78","N_L_1_T","lichen",1,"lichen"
"79","N_L_1_T","moss and liverwort",10,"moss and liverwort"
"80","N_L_1_T","moss and liverwort",1,"moss and liverwort"
"81","N_L_1_S","",5,"equisetum pratense"
"82","N_L_1_S","",5,"betula nana"
"83","N_L_1_S","",50,"odon"
"84","N_L_1_S","",1,"cloudberry"
"85","N_L_1_S","",15,"lingon"
"86","N_L_1_S","",50,"crowberry"
"87","N_L_1_S","",5,"calamagrostis"
"88","N_L_1_S","",1,"rosling"
"89","N_L_1_S","lichen",5,"lichen"
"90","N_L_1_S","lichen",1,"lichen"
"91","N_L_1_S","moss and liverwort",10,"moss and liverwort"
"92","N_L_1_S","moss and liverwort",1,"moss and liverwort"
"93","K_MH_3_S","",85,"crowberry"
"94","K_MH_3_S","",1,"lingon"
"95","K_MH_3_S","",10,"odon"
"96","K_MH_3_S","lichen",10,"lichen"
"97","K_MH_3_S","",5,"betula nana"
"98","K_MH_3_S","lichen",1,"lichen"
"99","K_MH_3_S","moss and liverwort",1,"moss and liverwort"
"100","K_MH_3_S","",1,"cloudberry"
"101","K_MH_3_S","moss and liverwort",50,"moss and liverwort"
"102","N_H_1_C","",1,"betula nana"
"103","N_H_1_C","",15,"odon"
"104","N_H_1_C","",20,"crowberry"
"105","N_H_1_C","lichen",40,"lichen"
"106","N_H_1_C","lichen",1,"lichen"
"107","N_H_1_C","",1,"lingon"
"108","N_H_1_C","moss and liverwort",50,"moss and liverwort"
"109","N_H_1_C","moss and liverwort",1,"moss and liverwort"
"110","N_H_1_C","",15,"calamagrostis"
"111","N_H_2_C","",5,"betula nana"
"112","N_H_2_C","",20,"crowberry"
"113","N_H_2_C","",10,"odon"
"114","N_H_2_C","",1,"lingon"
"115","N_H_2_C","",10,"calamagrostis"
"116","N_H_2_C","lichen",50,"lichen"
"117","N_H_2_C","lichen",1,"lichen"
"118","N_H_2_C","moss and liverwort",60,"moss and liverwort"
"119","N_H_2_C","moss and liverwort",1,"moss and liverwort"
"120","N_H_3_C","",20,"odon"
"121","N_H_3_C","",20,"betula nana"
"122","N_H_3_C","",1,"lingon"
"123","N_H_3_C","lichen",60,"lichen"
"124","N_H_3_C","",25,"crowberry"
"125","N_H_3_C","lichen",1,"lichen"
"126","N_H_3_C","",1,"calamagrostis"
"127","N_H_3_C","moss and liverwort",40,"moss and liverwort"
"128","N_H_3_C","moss and liverwort",1,"moss and liverwort"
"129","N_H_1_S","",1,"calamagrostis"
"130","N_H_1_S","",15,"odon"
"131","N_H_1_S","lichen",1,"lichen"
"132","N_H_1_S","",1,"lingon"
"133","N_H_1_S","moss and liverwort",1,"moss and liverwort"
"134","N_H_1_S","",80,"crowberry"
"135","N_H_1_S","",15,"betula nana"
"136","N_H_1_S","lichen",20,"lichen"
"137","N_H_1_S","moss and liverwort",30,"moss and liverwort"
"138","N_H_2_S","",85,"crowberry"
"139","N_H_2_S","",5,"calamagrostis"
"140","N_H_2_S","",10,"odon"
"141","N_H_2_S","",10,"betula nana"
"142","N_H_2_S","lichen",15,"lichen"
"143","N_H_2_S","lichen",1,"lichen"
"144","N_H_2_S","moss and liverwort",35,"moss and liverwort"
"145","N_H_2_S","moss and liverwort",1,"moss and liverwort"
"146","N_H_2_S","",1,"lingon"
"147","N_H_1_T","",50,"betula nana"
"148","N_H_1_T","",70,"crowberry"
"149","N_H_1_T","",1,"lingon"
"150","N_H_1_T","",10,"salix"
"151","N_H_1_T","",15,"odon"
"152","N_H_1_T","",5,"calamagrostis"
"153","N_H_1_T","",1,"cloudberry"
"154","N_H_1_T","lichen",10,"lichen"
"155","N_H_1_T","moss and liverwort",15,"moss and liverwort"
"156","N_H_1_T","moss and liverwort",1,"moss and liverwort"
"157","N_H_1_T","lichen",1,"lichen"
"158","N_H_3_S","",75,"crowberry"
"159","N_H_3_S","",5,"lingon"
"160","N_H_3_S","",5,"odon"
"161","N_H_3_S","",10,"calamagrostis"
"162","N_H_3_S","lichen",10,"lichen"
"163","N_H_3_S","",1,"cloudberry"
"164","N_H_3_S","",20,"betula nana"
"165","N_H_3_S","lichen",1,"lichen"
"166","N_H_3_S","moss and liverwort",15,"moss and liverwort"
"167","N_H_3_S","moss and liverwort",1,"moss and liverwort"
"168","N_H_2_T","",80,"betula nana"
"169","N_H_2_T","",10,"crowberry"
"170","N_H_2_T","",5,"lingon"
"171","N_H_2_T","",10,"salix"
"172","N_H_2_T","lichen",5,"lichen"
"173","N_H_2_T","",10,"calamagrostis"
"174","N_H_2_T","",1,"odon"
"175","N_H_2_T","moss and liverwort",70,"moss and liverwort"
"176","N_H_2_T","moss and liverwort",1,"moss and liverwort"
"177","N_H_2_T","lichen",1,"lichen"
"178","N_H_3_T","",70,"betula nana"
"179","N_H_3_T","",30,"salix"
"180","N_H_3_T","",10,"calamagrostis"
"181","N_H_3_T","",70,"crowberry"
"182","N_H_3_T","",10,"odon"
"183","N_H_3_T","",1,"lingon"
"184","N_H_3_T","moss and liverwort",10,"moss and liverwort"
"185","N_H_3_T","moss and liverwort",1,"moss and liverwort"
"186","N_H_3_T","",1,"linnea blomma"
"187","N_H_3_T","lichen",1,"lichen"
"188","N_H_3_T","",1,"kruståtel"
"189","N_MH_1_C","",5,"ripbär"
"190","N_MH_1_C","",1,"odon"
"191","N_MH_1_C","",1,"vanlig styvstarr"
"192","N_MH_1_C","",1,"betula nana"
"193","N_MH_1_C","",5,"crowberry"
"194","N_MH_1_C","",1,"equisetum scirpoides"
"195","N_MH_1_C","",1,"lapskalpros"
"196","N_MH_1_C","lichen",60,"lichen"
"197","N_MH_1_C","",5,"fjällsippa"
"198","N_MH_1_C","lichen",1,"lichen"
"199","N_MH_1_C","",5,"fjällvedel"
"200","N_MH_1_C","",1,"calamagrostis"
"201","N_MH_1_C","moss and liverwort",40,"moss and liverwort"
"202","N_MH_1_C","moss and liverwort",1,"moss and liverwort"
"203","N_MH_1_C","",1,"fjällspira"
"204","N_MH_2_C","",5,"ripbär"
"205","N_MH_2_C","",10,"crowberry"
"206","N_MH_2_C","",1,"salix"
"207","N_MH_2_C","",5,"odon"
"208","N_MH_2_C","",1,"betula nana"
"209","N_MH_2_C","",1,"equisetum scirpoides"
"210","N_MH_2_C","lichen",50,"lichen"
"211","N_MH_2_C","",5,"fjällvedel"
"212","N_MH_2_C","lichen",1,"lichen"
"213","N_MH_2_C","",1,"lapskalpros"
"214","N_MH_2_C","",1,"calamagrostis"
"215","N_MH_2_C","moss and liverwort",60,"moss and liverwort"
"216","N_MH_2_C","moss and liverwort",1,"moss and liverwort"
"217","N_MH_2_C","rock",5,"rock"
"218","N_MH_3_C","graminoid",5,"vanlig styvstarr"
"219","N_MH_3_C","",5,"crowberry"
"220","N_MH_3_C","",20,"odon"
"221","N_MH_3_C","graminoid",1,"calamagrostis"
"222","N_MH_3_C","",5,"fjällsippa"
"223","N_MH_3_C","",1,"fjällvedel"
"224","N_MH_3_C","",1,"equisetum scirpoides"
"225","N_MH_3_C","lichen",70,"lichen"
"226","N_MH_3_C","lichen",1,"lichen"
"227","N_MH_3_C","",1,"salix"
"228","N_MH_3_C","",1,"betula nana"
"229","N_MH_3_C","moss and liverwort",30,"moss and liverwort"
"230","N_MH_3_C","moss and liverwort",1,"moss and liverwort"
"231","N_MH_3_C","",1,"fjällgröna"
"232","N_MH_3_C","rock",5,"rock"
"233","N_MH_1_S","",15,"kantljung"
"234","N_MH_1_S","",1,"björnbrodd"
"235","N_MH_1_S","",1,"svarthö"
"236","N_MH_1_S","",15,"ripbär"
"237","N_MH_1_S","lichen",15,"lichen"
"238","N_MH_1_S","",10,"betula nana"
"239","N_MH_1_S","",1,"equisetum scirpoides"
"240","N_MH_1_S","lichen",1,"lichen"
"241","N_MH_1_S","",1,"vanlig styvstarr"
"242","N_MH_1_S","",1,"rosling"
"243","N_MH_1_S","moss and liverwort",35,"moss and liverwort"
"244","N_MH_1_S","",1,"fjällgröna"
"245","N_MH_1_S","moss and liverwort",1,"moss and liverwort"
"246","N_MH_1_S","",1,"ormrot"
"247","N_MH_1_S","",65,"crowberry"
"248","N_MH_1_S","",15,"odon"
"249","N_MH_1_T","",70,"betula nana"
