nr,site,elevation_cat,elevation_m,community,plot_nr,coordinates,date,plot_comments,NDVI,fPAR,LAI,avg_height
1,N,L,527,T,1,"N7583962, E0657650",2022-09-09,two elevations and coordinates collected. sunny,0.724302,0.730134,1.312300,28.00
2,N,L,527,S,1,"N7583962, E0657650",2022-09-09,sunny,0.666564,0.658540,0.917813,7.33
3,N,L,527,T,2,"N7583962, E0657650",2022-09-09,"sunny, little cloudy",0.596143,0.571218,0.593447,20.33
4,N,L,527,S,2,"N7583962, E0657650",2022-09-09,overcast,0.671073,0.664131,0.943798,8.33
5,N,L,527,T,3,"N7583962, E0657650",2022-09-09,overcast,0.619803,0.600556,0.687077,17.67
6,N,L,527,S,3,"N7583962, E0657650",2022-09-09,overcast,0.803912,0.828851,2.148300,7.33
7,N,L,527,C,1,"N7583962, E0657650",2022-09-09,"overcast, hard to find dominating C",0.487893,0.436987,0.303585,6.67
8,N,L,527,C,2,"N7583962, E0657650",2022-09-09,"overcast,little sunny, hard to find dominating C",0.508658,0.462736,0.345240,7.67
9,N,L,527,C,3,"N7583962, E0657650",2022-09-09,"overcast, hard to find dominating C",0.551747,0.516166,0.450809,10.67
10,K,H,762,S,1,"N7591418, E0628996",2022-09-06,"overcast, drizzley, cold",0.720021,,1.277400,6.00
11,K,L,530,C,1,"N7592520, E0629694",2022-09-08,"sunny, no clouds",0.442025,0.380111,0.228525,1.17
12,K,L,529,C,2,"N7592492, E0629695",2022-09-08,"sunny, no clouds. some dead/lack of leaves betula (branches w/o leaves)",0.601232,0.577527,0.612441,7.33
13,K,L,530,T,1,"N7592492, E0629695",2022-09-08,b. nana = red,0.710849,0.713453,1.207400,33.00
14,K,L,530,T,2,"N7592492, E0629695",2022-09-08,"sunny,  b. nana = red",0.728783,0.735691,1.349200,19.33
15,K,L,529,T,3,"N7592492, E0629695",2022-09-08,"sunny,  b. nana = red",0.761178,0.775860,1.648900,20.33
16,K,L,529,S,1,"N7592492, E0629695",2022-09-08,"sunny,  b. nana = red",0.678089,0.672830,0.985701,8.67
17,K,L,529,C,3,"N7592492, E0629695",2022-09-08,"sunny,  b. nana = red",0.547746,0.511205,0.439778,3.67
18,K,L,528,S,2,"N7592492, E0629695",2022-09-08,coordinates not showing differences,0.669332,0.661972,0.933670,8.33
19,K,L,528,S,3,"N7592492, E0629695",2022-09-08,,0.713830,0.717215,1.230300,10.67
20,K,LM,572,T,1,"N7592206, E0629550",2022-09-08,"lots of bare ground with moss and salix (small), rocky",0.687648,0.684683,1.045800,45.00
21,K,LM,568,C,1,"N7592206, E0629550",2022-09-08,"lots of bare ground with moss and salix (small), rocky. sloped area",0.634597,0.618900,0.752988,4.33
22,K,LM,569,C,2,"N7592206, E0629550",2022-09-08,lots of black moss,0.576180,0.546563,0.524442,2.33
