ID;date_time;date;time;temp;site;elev_cat
1;2022-09-06 15:00;2022-09-06;15:00:00;6.126;N;H
2;2022-09-06 16:00;2022-09-06;16:00:00;6.174;N;H
3;2022-09-06 17:00;2022-09-06;17:00:00;6.586;N;H
4;2022-09-06 18:00;2022-09-06;18:00:00;5.195;N;H
5;2022-09-06 19:00;2022-09-06;19:00:00;4.354;N;H
6;2022-09-06 20:00;2022-09-06;20:00:00;3.511;N;H
7;2022-09-06 21:00;2022-09-06;21:00:00;3.407;N;H
8;2022-09-06 22:00;2022-09-06;22:00:00;2.955;N;H
9;2022-09-06 23:00;2022-09-06;23:00:00;3.163;N;H
10;2022-09-07 00:00;2022-09-07;00:00:00;2.936;N;H
11;2022-09-07 01:00;2022-09-07;01:00:00;2.752;N;H
12;2022-09-07 02:00;2022-09-07;02:00:00;2.665;N;H
13;2022-09-07 03:00;2022-09-07;03:00:00;2.292;N;H
14;2022-09-07 04:00;2022-09-07;04:00:00;2.5;N;H
15;2022-09-07 05:00;2022-09-07;05:00:00;1.979;N;H
16;2022-09-07 06:00;2022-09-07;06:00:00;2.318;N;H
17;2022-09-07 07:00;2022-09-07;07:00:00;4.168;N;H
18;2022-09-07 08:00;2022-09-07;08:00:00;5.844;N;H
19;2022-09-07 09:00;2022-09-07;09:00:00;5.924;N;H
20;2022-09-07 10:00;2022-09-07;10:00:00;8.097;N;H
21;2022-09-07 11:00;2022-09-07;11:00:00;7.341;N;H
22;2022-09-07 12:00;2022-09-07;12:00:00;7.612;N;H
23;2022-09-07 13:00;2022-09-07;13:00:00;8.416;N;H
24;2022-09-07 14:00;2022-09-07;14:00:00;8.373;N;H
25;2022-09-07 15:00;2022-09-07;15:00:00;8.032;N;H
26;2022-09-07 16:00;2022-09-07;16:00:00;8.554;N;H
27;2022-09-07 17:00;2022-09-07;17:00:00;8.533;N;H
28;2022-09-07 18:00;2022-09-07;18:00:00;8.263;N;H
29;2022-09-07 19:00;2022-09-07;19:00:00;4.024;N;H
30;2022-09-07 20:00;2022-09-07;20:00:00;0.345;N;H
31;2022-09-07 21:00;2022-09-07;21:00:00;0.794;N;H
32;2022-09-07 22:00;2022-09-07;22:00:00;-0.751;N;H
33;2022-09-07 23:00;2022-09-07;23:00:00;-0.141;N;H
34;2022-09-08 00:00;2022-09-08;00:00:00;-0.774;N;H
35;2022-09-08 01:00;2022-09-08;01:00:00;0.827;N;H
36;2022-09-08 02:00;2022-09-08;02:00:00;-0.927;N;H
37;2022-09-08 03:00;2022-09-08;03:00:00;0.826;N;H
38;2022-09-08 04:00;2022-09-08;04:00:00;0.43;N;H
39;2022-09-08 05:00;2022-09-08;05:00:00;1.565;N;H
