date_time	temp	site	elev_cat
2022-09-06 15:00	6.126	N	H
2022-09-06 16:00	6.174	N	H
2022-09-06 17:00	6.586	N	H
2022-09-06 18:00	5.195	N	H
2022-09-06 19:00	4.354	N	H
2022-09-06 20:00	3.511	N	H
2022-09-06 21:00	3.407	N	H
2022-09-06 22:00	2.955	N	H
2022-09-06 23:00	3.163	N	H
2022-09-07 00:00	2.936	N	H
2022-09-07 01:00	2.752	N	H
2022-09-07 02:00	2.665	N	H
2022-09-07 03:00	2.292	N	H
2022-09-07 04:00	2.5	N	H
2022-09-07 05:00	1.979	N	H
2022-09-07 06:00	2.318	N	H
2022-09-07 07:00	4.168	N	H
2022-09-07 08:00	5.844	N	H
2022-09-07 09:00	5.924	N	H
2022-09-07 10:00	8.097	N	H
2022-09-07 11:00	7.341	N	H
2022-09-07 12:00	7.612	N	H
2022-09-07 13:00	8.416	N	H
2022-09-07 14:00	8.373	N	H
2022-09-07 15:00	8.032	N	H
2022-09-07 16:00	8.554	N	H
2022-09-07 17:00	8.533	N	H
2022-09-07 18:00	8.263	N	H
2022-09-07 19:00	4.024	N	H
2022-09-07 20:00	0.345	N	H
2022-09-07 21:00	0.794	N	H
2022-09-07 22:00	-0.751	N	H
2022-09-07 23:00	-0.141	N	H
2022-09-08 00:00	-0.774	N	H
2022-09-08 01:00	0.827	N	H
2022-09-08 02:00	-0.927	N	H
2022-09-08 03:00	0.826	N	H
2022-09-08 04:00	0.43	N	H
2022-09-08 05:00	1.565	N	H
2022-09-08 06:00	0.57	N	H
2022-09-08 07:00	-1.223	N	H
2022-09-08 08:00	0.875	N	H
2022-09-08 09:00	7.406	N	H
2022-09-08 10:00	11.879	N	H
2022-09-08 11:00	9.564	N	H
2022-09-08 12:00	13.64	N	H
2022-09-08 13:00	13.758	N	H
2022-09-08 14:00	14.397	N	H
2022-09-08 15:00	14.972	N	H
2022-09-08 16:00	14.819	N	H
2022-09-08 17:00	12.587	N	H
2022-09-08 18:00	11.064	N	H
2022-09-08 19:00	9.278	N	H
2022-09-08 20:00	4.55	N	H
2022-09-08 21:00	2.641	N	H
2022-09-08 22:00	0.945	N	H
2022-09-08 23:00	1.961	N	H
2022-09-09 00:00	0.88	N	H
2022-09-09 01:00	2.798	N	H
2022-09-09 02:00	3.497	N	H
2022-09-09 03:00	0.864	N	H
2022-09-09 04:00	0.978	N	H
2022-09-09 05:00	0.854	N	H
2022-09-09 06:00	0.392	N	H
2022-09-09 07:00	2.436	N	H
2022-09-09 08:00	1.031	N	H
2022-09-09 09:00	6.151	N	H
2022-09-09 10:00	9.609	N	H
2022-09-09 11:00	6.974	N	H
2022-09-09 12:00	12.948	N	H
2022-09-09 13:00	9.332	N	H
2022-09-09 14:00	7.505	N	H
2022-09-09 15:00	7.866	N	H
2022-09-09 16:00	10.665	N	H
2022-09-09 17:00	9.286	N	H
2022-09-09 18:00	5.257	N	H
2022-09-09 19:00	4.046	N	H
2022-09-09 20:00	2.534	N	H
2022-09-09 21:00	3.282	N	H
2022-09-09 22:00	3.581	N	H
2022-09-09 23:00	4.038	N	H
2022-09-10 00:00	3.945	N	H
2022-09-10 01:00	3.847	N	H
